StudentID, TotalNumberOfSemestersRegistered, Semester, NumCoursesTakenInTheSemester
0057,11,2,4
0057,11,3,1
0057,11,4,4
0057,11,5,4
0057,11,6,5
0057,11,7,4
0057,11,8,4
0057,11,9,3
0057,11,10,3
0057,11,11,3
0058,9,1,5
0058,9,2,4
0058,9,3,4
0058,9,4,4
0058,9,5,1
0058,9,6,5
0058,9,7,5
0058,9,8,3
0058,9,9,2
0059,9,1,5
0059,9,2,5
0059,9,3,1
0059,9,4,4
0059,9,5,4
0059,9,6,1
0059,9,7,4
0059,9,8,4
0059,9,9,3
0060,12,1,5
0060,12,2,5
0060,12,3,1
0060,12,4,4
0060,12,5,4
0060,12,6,1
0060,12,7,4
0060,12,8,4
0060,12,9,1
0060,12,10,2
0060,12,11,1
0060,12,12,1
0061,8,1,5
0061,8,2,5
0061,8,3,4
0061,8,4,4
0061,8,5,5
0061,8,6,4
0061,8,7,3
0061,8,8,2
0062,11,1,5
0062,11,2,4
0062,11,3,1
0062,11,4,4
0062,11,5,4
0062,11,6,1
0062,11,7,4
0062,11,8,4
0062,11,9,1
0062,11,10,3
0062,11,11,4
0063,9,1,6
0063,9,2,6
0063,9,3,4
0063,9,4,5
0063,9,5,4
0063,9,6,4
0063,9,7,1
0063,9,8,3
0063,9,9,3
0064,8,1,6
0064,8,2,6
0064,8,3,5
0064,8,4,4
0064,8,5,4
0064,8,6,5
0064,8,7,4
0064,8,8,3
0065,12,1,5
0065,12,2,4
0065,12,3,1
0065,12,4,4
0065,12,5,4
0065,12,6,1
0065,12,7,4
0065,12,8,4
0065,12,9,3
0065,12,10,3
0065,12,11,1
0065,12,12,1
0066,9,1,4
0066,9,2,4
0066,9,3,4
0066,9,4,4
0066,9,5,1
0066,9,6,4
0066,9,7,4
0066,9,8,3
0066,9,9,4
0067,8,1,5
0067,8,2,4
0067,8,3,4
0067,8,4,5
0067,8,5,4
0067,8,6,4
0067,8,7,4
0067,8,8,2
0068,9,1,6
0068,9,2,5
0068,9,3,5
0068,9,4,5
0068,9,5,4
0068,9,6,5
0068,9,7,5
0068,9,8,3
0068,9,9,1
0069,11,1,4
0069,11,2,5
0069,11,3,4
0069,11,4,5
0069,11,5,4
0069,11,6,3
0069,11,7,1
0069,11,8,3
0069,11,9,2
0069,11,10,1
0069,11,11,1
0070,8,1,5
0070,8,2,5
0070,8,3,4
0070,8,4,5
0070,8,5,5
0070,8,6,4
0070,8,7,3
0070,8,8,1
0071,10,1,5
0071,10,2,5
0071,10,3,5
0071,10,4,5
0071,10,5,4
0071,10,6,4
0071,10,7,1
0071,10,8,3
0071,10,9,3
0071,10,10,1
0072,9,1,5
0072,9,2,5
0072,9,3,4
0072,9,4,4
0072,9,5,1
0072,9,6,4
0072,9,7,4
0072,9,8,3
0072,9,9,2
0073,9,1,5
0073,9,2,6
0073,9,3,5
0073,9,4,4
0073,9,5,4
0073,9,6,6
0073,9,7,3
0073,9,8,1
0073,9,9,5
0074,12,1,5
0074,12,2,4
0074,12,3,4
0074,12,4,4
0074,12,5,1
0074,12,6,4
0074,12,7,4
0074,12,8,1
0074,12,9,3
0074,12,10,1
0074,12,11,2
0074,12,12,1
0075,12,1,6
0075,12,2,5
0075,12,3,1
0075,12,4,4
0075,12,5,1
0075,12,6,4
0075,12,7,5
0075,12,8,5
0075,12,9,3
0075,12,10,5
0075,12,11,1
0075,12,12,3
0076,10,1,5
0076,10,2,4
0076,10,3,5
0076,10,4,4
0076,10,5,4
0076,10,6,4
0076,10,7,3
0076,10,8,1
0076,10,9,4
0076,10,10,2
0077,12,1,5
0077,12,2,6
0077,12,3,4
0077,12,4,4
0077,12,5,5
0077,12,6,3
0077,12,7,4
0077,12,8,3
0077,12,9,1
0077,12,10,2
0077,12,11,1
0077,12,12,2
0078,11,1,4
0078,11,2,5
0078,11,3,4
0078,11,4,5
0078,11,5,1
0078,11,6,5
0078,11,7,4
0078,11,8,4
0078,11,9,4
0078,11,10,1
0078,11,11,1
0079,10,1,5
0079,10,2,4
0079,10,3,5
0079,10,4,5
0079,10,5,4
0079,10,6,5
0079,10,7,3
0079,10,8,4
0079,10,9,1
0079,10,10,1
0080,10,1,5
0080,10,2,4
0080,10,3,4
0080,10,4,5
0080,10,5,4
0080,10,6,4
0080,10,7,3
0080,10,8,3
0080,10,9,1
0080,10,10,2
0081,12,1,5
0081,12,2,6
0081,12,3,4
0081,12,4,1
0081,12,5,4
0081,12,6,3
0081,12,7,4
0081,12,8,5
0081,12,9,1
0081,12,10,3
0081,12,11,1
0081,12,12,2
0082,11,1,5
0082,11,2,4
0082,11,3,1
0082,11,4,4
0082,11,5,4
0082,11,6,1
0082,11,7,4
0082,11,8,4
0082,11,9,1
0082,11,10,2
0082,11,11,2
0083,8,1,5
0083,8,2,4
0083,8,3,4
0083,8,4,4
0083,8,5,4
0083,8,6,5
0083,8,7,3
0083,8,8,4
0084,13,1,5
0084,13,2,4
0084,13,3,5
0084,13,4,4
0084,13,5,4
0084,13,6,1
0084,13,7,4
0084,13,8,3
0084,13,9,1
0084,13,10,3
0084,13,11,4
0084,13,12,1
0084,13,13,3
0085,9,1,5
0085,9,2,4
0085,9,3,4
0085,9,4,5
0085,9,5,1
0085,9,6,5
0085,9,7,4
0085,9,8,1
0085,9,9,3
0086,9,1,6
0086,9,2,5
0086,9,3,5
0086,9,4,4
0086,9,5,5
0086,9,6,4
0086,9,7,4
0086,9,8,3
0086,9,9,1
0087,13,1,4
0087,13,2,5
0087,13,3,4
0087,13,4,4
0087,13,5,5
0087,13,6,5
0087,13,7,1
0087,13,8,3
0087,13,9,3
0087,13,10,1
0087,13,11,3
0087,13,12,3
0087,13,13,1
0088,10,1,4
0088,10,2,5
0088,10,3,4
0088,10,4,4
0088,10,5,4
0088,10,6,4
0088,10,7,3
0088,10,8,1
0088,10,9,1
0088,10,10,2
0089,10,1,4
